id,parseerror_distances,not_parseerror_distances
gERX6QizjaKwqZMCJ,"[58, 4, 10, 5, 22, 25, 4, 4]","[18, 20, 19, 20, 20, 5, 77, 21, 37, 35, 11, 1, 25, 31, 1, 18, 0, 43, 98, 32, 65, 1]"
oAPYTyLa8PbFG25qv,[0],"[9, 4, 11, 7]"
Yiz8Mn9JAjykLRNZk,[],"[4, 8, 6, 14, 62, 16, 66, 30, 5]"
v3JQMp2nth5ebnBLJ,[],"[16, 16, 40, 1, 15, 5, 5, 5, 5, 2, 62, 12, 64, 4, 21, 81, 126, 1, 7, 1, 61, 0]"
L9dcZxegPr7oAvjLz,[],[]
DgYNpb6x7Jdx6Rw2t,"[5, 21, 5, 2, 6, 0, 6, 0]","[16, 18, 13, 17, 39, 0, 0, 42, 5, 1, 12, 11, 23, 16, 26, 13, 7, 7, 0, 47, 2, 4, 24, 4, 23, 1, 1, 7, 38, 14, 16, 7, 1, 6, 5, 7, 2, 6, 58, 63, 75, 0, 7, 8, 41, 12, 67, 19, 7, 19, 0, 30, 60, 16]"
vsZGB5N5EsYh2GPYh,"[2, 1, 11, 5, 12, 44]","[24, 0, 17, 0, 5, 3, 11, 11, 27, 13, 40, 2, 24, 2, 99, 5, 4, 0, 11, 10, 29, 6, 11, 2, 22, 28, 2, 2, 4, 4, 15, 2, 9, 9, 1, 11, 6, 1, 60, 0, 0, 10, 1, 17, 10, 31, 7, 60, 1, 1, 7, 14, 14, 9, 7, 14, 105, 7, 14, 9, 7, 80, 1, 2, 10, 7, 4, 44, 22, 60, 0, 13, 13, 7, 29, 48, 7, 1, 28, 7, 66, 26, 71, 4, 6, 11, 23, 0, 1]"
Bk6zyS4GmGBxziabr,[],"[75, 1, 7]"
Phhq8dmrS2wqy66jw,[],[]
GKNY2tpo8CigXWxdB,"[20, 5, 3, 1, 14, 3]","[31, 38, 0, 5, 36, 32, 1, 11, 4, 5, 48, 19, 9, 1, 10, 1, 4, 1, 16, 2, 7, 0, 0, 0, 71, 9, 22, 42, 13, 1]"
rfSMwQAffTMKsg7dk,"[2, 2, 18]","[10, 19]"
5LqjxcHWuYJXuCDa6,[],"[28, 6, 17, 22, 22, 24, 23, 47, 44, 27, 11, 23, 15, 33, 5, 78, 23, 28, 30, 35, 22, 32, 31, 0, 2, 68, 25, 95, 4, 21, 19, 15, 29, 6, 15, 37, 10, 7, 7, 7, 53, 0, 42, 18, 17, 53, 75, 14, 21, 11, 67, 111, 10, 9, 32, 4, 21, 22]"
FLagLPb8vEXZK4ro5,[2],"[13, 16, 13, 1, 43, 44, 21, 60, 1, 4, 21, 2, 0, 24, 0, 13, 16, 15, 36, 0, 59, 0, 31, 13, 69, 65, 3, 28, 27, 1, 25, 168, 79, 12, 7, 37, 7, 65, 7, 57, 4, 19, 60, 7, 7, 7, 53, 7, 62]"
gNjASxo6McsgwoNE9,"[4, 2, 2, 2, 51, 0, 3, 6, 2, 4, 0]","[26, 6, 17, 22, 8, 19, 9, 21, 39, 11, 17, 52, 0, 0, 7, 68, 0, 2, 4, 2]"
J2Xu5fQLFohSm8Qbq,[],"[0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 7]"
